 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000   25.0000   25.0000    4.8829    0.8386    4.5647    0.0000  1.0000E-10      0.0000  1.3388E+03
    0.3419    1.0000   24.9702   24.9702    4.8937    0.8502    4.5616    0.0000  1.0000E-10      0.0000  1.2962E+03
    0.6841    1.0000   24.9388   24.9388    4.9052    0.8619    4.5586    0.0000  1.0000E-10     -0.0004  1.2534E+03
    1.0268    1.0000   24.9056   24.9056    4.9174    0.8738    4.5557    0.0000  1.0000E-10     -0.0013  1.2100E+03
    1.3699    1.0000   24.8704   24.8704    4.9303    0.8861    4.5528    0.0000  1.0000E-10     -0.0027  1.1656E+03
    1.7135    1.0000   24.8330   24.8330    4.9438    0.8988    4.5498    0.0000  1.0000E-10     -0.0047  1.1201E+03
    2.0576    1.0000   24.7932   24.7932    4.9579    0.9122    4.5467    0.0000  1.0000E-10     -0.0074  1.0730E+03
    2.4022    1.0000   24.7506   24.7506    4.9727    0.9263    4.5433    0.0000  1.0000E-10     -0.0109  1.0242E+03
    2.7474    1.0000   24.7049   24.7049    4.9881    0.9413    4.5397    0.0000  1.0000E-10     -0.0153  9.7358E+02
    3.0933    1.0000   24.6557   24.6557    5.0041    0.9572    4.5357    0.0000  1.0000E-10     -0.0207  9.2083E+02
    3.4398    1.0000   24.6026   24.6026    5.0207    0.9743    4.5313    0.0000  1.0000E-10     -0.0273  8.6587E+02
    3.7870    1.0000   24.5450   24.5450    5.0379    0.9928    4.5263    0.0000  1.0000E-10     -0.0353  8.0852E+02
    4.1351    1.0000   24.4823   24.4823    5.0556    1.0130    4.5207    0.0000  1.0000E-10     -0.0450  7.4858E+02
    4.4840    1.0000   24.4136   24.4136    5.0739    1.0352    4.5141    0.0000  1.0000E-10     -0.0566  6.8574E+02
    4.8339    1.0000   24.3380   24.3380    5.0926    1.0602    4.5063    0.0000  1.0000E-10     -0.0706  6.1953E+02
